"species_type","site_ID","license_type","company_person","Operating group","site_name","species","latitude","longitude","location"
"Shellfish","1657","Shellfish facility","R & N Resources Ltd. and 167432 BC Ltd.","","Pinkerton Islands","","48.95643","-125.27707",""
"Shellfish","1662","Shellfish facility","Halalt First Nation","","Halalt Island","","48.89369","-123.65594",""
"Shellfish","1688","Shellfish facility","Toquaht Management Ltd","","Refuge Island, Toquart Bay","","49.02503","-125.30832",""
"Shellfish","1707","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","","Cachalot Inlet","","49.99827","-127.14273",""
"Shellfish","1708","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","","Cachalot Inlet","","49.99792","-127.13213",""
"Shellfish","1709","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","","Malksope Inlet","","50.13624","-127.42556",""
"Shellfish","1710","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","","Malksope Inlet","","50.12588","-127.43555",""
"Shellfish","1712","Shellfish facility","Tla'amin Nation","","West side of Okeover Inlet","","49.97716","-124.69250",""
"Shellfish","1716","Shellfish facility","Tla'amin Nation","","South end of Theodosia Arm","","50.07463","-124.66514",""
"Shellfish","1717","Shellfish facility","Tla'amin Nation","","Thors Cove, Lancelot Inlet","","50.06007","-124.70019",""
"Shellfish","1718","Shellfish facility","Tla'amin Nation","","East side of Okeover Inlet","","49.97527","-124.67930",""
"Shellfish","1721","Shellfish facility","Tla'amin Nation","","Head of Okeover Inlet","","49.96642","-124.67919",""
"Shellfish","1722","Shellfish facility","Tla'amin Nation","","Theodosia Arm - Okeover Inlet","","50.07890","-124.66379",""
"Shellfish","1723","Shellfish facility","Tla'amin Nation","","Lancelot Inlet","","50.04039","-124.71285",""
"Shellfish","1728","Shellfish facility","Penelakut Seafoods Incorporated","","The Cut, Clam Bay, Penelakut Island","","48.98239","-123.66272",""
"Shellfish","1729","Shellfish facility","Penelakut Seafoods Incorporated","","Houston Passage, Penelakut Island","","48.95130","-123.62669",""
"Shellfish","1730","Shellfish facility","Penelakut Seafoods Incorporated","","Lamalchi Bay, Penelakut Island","","48.94076","-123.63991",""
"Shellfish","1736","Shellfish facility","Toquaht Management Ltd","","Toquart Bay","","49.03774","-125.34738",""
"Shellfish","1744","Shellfish facility","Nuchatlaht Tribe","","Espinosa Inlet","","49.98640","-126.94236",""
"Shellfish","1747","Shellfish facility","Pentlatch Seafoods Ltd.","","Kw'ulh - Seal Islets","","49.63278","-124.86422",""
"Shellfish","1751","Shellfish facility","Nuchatlaht Tribe","","Espinosa Inlet","","49.97481","-126.94303",""
"Shellfish","1752","Shellfish facility","Nuchatlaht Tribe","","McBride Bay","","49.85441","-126.70382",""
"Shellfish","1753","Shellfish facility","Stz'uminus First Nation","","Ladysmith Harbour","","49.01785","-123.84334",""
"Shellfish","1766","Shellfish facility","Pentlatch Seafoods Ltd.","","Ihet'lha7t'ay - Gartley Point, Baynes Sound","","49.63943","-124.91986",""
"Shellfish","1767","Shellfish facility","Pentlatch Seafoods Ltd.","","Chich7atixw - Coal Beds, Union Point, Baynes Sound","","49.59692","-124.88740",""
"Shellfish","1768","Shellfish facility","Pentlatch Seafoods Ltd.","","T'amxwayksen - Base Flats, Baynes Sound","","49.52442","-124.84312",""
"Shellfish","1771","Shellfish facility","Super Shell Enterprises Ltd","","Okeover Inlet, Malaspina Inlet","","49.98969","-124.69452",""
"Shellfish","1772","Shellfish facility","Dao Thi Pham and Sinh T. Phuong","","Coulter Bay, Cortes Island","","50.12886","-125.04533",""
"Shellfish","1781","Shellfish facility","Taylor Shellfish Canada ULC","","Mud Bay, Nanaimo District","","49.47477","-124.78469",""
"Shellfish","1787","Shellfish facility","Pentlatch Seafoods Ltd.","","Akwt - Comox Harbour, Baynes Sound","","49.66785","-124.91685",""
"Shellfish","1788","Shellfish facility","Pentlatch Seafoods Ltd.","","Jaji7em - Sandy Island #4","","49.62083","-124.84716",""
"Shellfish","1791","Shellfish facility","David Leslie Planes","","Hutchinson Cove, Sooke Basin","","48.38815","-123.63534",""
"Shellfish","1793","Shellfish facility","Granscal Sea Farms Ltd.","","Easternmost Chained Island, Kanish Bay","","50.24967","-125.33595",""
"Shellfish","1794","Shellfish facility","Limberis Seafoods Ltd.","","Ladysmith Harbour","","49.01343","-123.83553",""
"Shellfish","1798","Shellfish facility","Nootka Sound Shellfish Ltd.","","Kendrick Creek","","49.72601","-126.64394",""
"Shellfish","1803","Shellfish facility","Roderick S. Vowles, Wayne D. Vowles and Holly L. Vowles","","Near Whiffen Spit, Sooke Harbour","","48.36313","-123.73111",""
"Shellfish","1804","Shellfish facility","Fu Hua Seafoods","","Mud Bay, Baynes Sound","","49.47742","-124.78831",""
"Shellfish","1817","Shellfish facility","T'Sou-ke Nation","","Roche Cove","","48.37065","-123.62565",""
"Shellfish","1818","Shellfish facility","T'Sou-ke Nation","","Pim Head, Sooke Basin","","48.36495","-123.66480",""
"Shellfish","1819","Shellfish facility","T'Sou-ke Nation","","Sooke Basin","","48.38051","-123.68852",""
"Shellfish","1820","Shellfish facility","T'Sou-ke Nation","","Wickoms, Sooke Basin","","48.38494","-123.68521",""
"Shellfish","1826","Shellfish facility","Vancouver Island University","","Deep Bay, Baynes Sound","","49.46171","-124.73277",""
"Shellfish","1829","Shellfish facility","Troy James Hutchings","","Okeover Inlet","","49.98875","-124.69037",""
"Shellfish","1831","Shellfish facility","Cleanwater Shellfish Ltd.","","Smith Inlet","","51.30794","-127.53064",""
"Shellfish","1836","Shellfish facility","Halalt First Nation","","South of Willy's Island, Stuart Channel","","48.88803","-123.64845",""
"Shellfish","1845","Shellfish facility","Klahoose Shellfish Limited Partnership","","Turn Point, Cortes Island","","50.06472","-124.88020",""
"Shellfish","1848","Shellfish facility","Klahoose Shellfish Limited Partnership","","Goldmine Beach, Cortes Island","","50.06523","-124.90722",""
"Shellfish","1850","Shellfish facility","Sinh Thi Tran and Tan Van Tran","","Denman Island, Baynes Sound","","49.52149","-124.80059",""
"Shellfish","1852","Shellfish facility","Richard Stanley Fair","","NE Hardy Island, Jervis Inlet","","49.75543","-124.15792",""
"Shellfish","1853","Shellfish facility","Fan Seafoods Limited","","Savary Island, Strait of Georgia","","49.92913","-124.79981",""
"Shellfish","1864","Shellfish facility","Granscal Sea Farms Ltd.","","Kanish Bay, Quadra Island","","50.25686","-125.33372",""
"Shellfish","1869","Shellfish facility","Pentlatch Seafoods Ltd.","","Ihet'lha7t'ay - Royston","","49.64912","-124.94048",""
"Shellfish","1871","Shellfish facility","Manatee Holdings Ltd.","","West of Savary Island, Strait of Georgia","","49.93462","-124.87214",""
