site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Ardcastle,10000805,FS0818,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,12-Aug-93,NR953922,Argyll and Bute,Yes,Crarae,Furnace,Argyll,PA32 8YA,,Fish,Seawater,Medium,195300,692200,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Barvas Hatchery,10000787,FS0076,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,25-May-93,NB323487,Western Isles,Yes,Barvas,,,HS2 9DB,,Fish,Freshwater,Medium,132300,948700,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Geocrab Hatchery,10000814,FS0562,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,25-May-93,NG112905,Western Isles,Yes,Geocrab Mill,Geocrab,South Harris,HS3 3HB,,Fish,Freshwater,Low,111200,890500,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Geocrab Seafarm,10000264,FS0563,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-May-93,NG118902,Western Isles,No,N/A,,,,,Fish,Seawater,,111800,890200,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Ob Meavag,10000294,FS0817,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-May-93,NG174964,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,117400,896400,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Rossay by Isle of Scalpay,10000292,FS0795,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-May-93,NG205958,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,120500,895800,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Scotasay,10000367,FS0502,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,25-May-93,NG190979,Western Isles,Yes,Cuddy Point,Scalpay,Isle of Harris,HS4 3YD,,Fish,Seawater,Medium,119000,897900,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Loch Caravat,10000742,FS0733,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Apr-93,NF850610,Western Isles,No,N/A,,,,,Fish,Freshwater,,85000,861000,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Trenay,10000763,FS0796,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,08-Dec-92,NF893637,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,89300,863700,5c - E North Uist,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Taranaish,10000793,FS0752,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Oct-92,NB181371,Western Isles,Yes,Breasclete Pier,Breasclete,,HS2 9ED,,Fish,Seawater,Medium,118100,937100,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Tarbert South,10000898,FS0767,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Feb-92,NR903653,Argyll and Bute,Yes,Stronachullin,Tarbert Road,"ArdrIshaig, Argyll",PA30 8ET,,Fish,Seawater,Medium,190300,665300,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Loch Huamavat,10000798,FS0737,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,20-Dec-91,NG085885,Western Isles,Yes,By Finsbay,,,HS3 3JD,,Fish,Freshwater,Low,108500,888500,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Portree,10000769,FS0708,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,16-Oct-91,NG505441,Highland,Yes,8A Lisgarry Place,Portree,,IV51 9BD,,Fish,Seawater,Medium,150500,844100,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Bakkafrost Scotland,Atlantic Salmon
Gob a Bharra,10000910,FS0683,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,18-Sep-91,NR904768,Argyll and Bute,Yes,Stronachullin,Tarbert Road,"ArdrIshaig, Argyll",PA30 8ET,,Fish,Seawater,Medium,190400,676800,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
